Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
45,839,469.3K,87.7K,6K,124,374.5K,4.2K,1.53,4:56,77.07%
65,182,2.5M,584.1K,1K,4,4.2M,21.1K,1.64,6:25,73.92%
60,179,2.6M,472.3K,312.3K,6K,4.1M,10.2K,2.48,8:31,63.98%
60,185,2.5M,471.2K,303.6K,5.7K,4.1M,10.2K,2.48,8:31,63.98%
34,1.1M,18.7K,12.3K,1.1K,35,60.1M,3K,3.17,10:12,57.57%
34,1.1M,18.7K,12.3K,1.1K,35,60.1M,3K,3.17,10:12,57.57%
51,943,395.6K,277.8K,17.6K,117,2.4M,3.3K,4.69,7:22,38.09%
83,961,18.7M,2.8M,967.6K,21.5K,100.6M,132.1K,3.45,10:10,46.15%
64,68,6.1M,464.1K,304K,7.1K,5.1M,9.5K,1.98,13:55,66.99%
85,993,21.6M,2.5M,1.6M,38.8K,67.6M,125.7K,2.43,6:06,58.31%
75,1.8K,6.6M,573K,25.2K,604,28M,85.9K,2.3,4:59,56.47%
76,16,21.1M,1.1M,2.6M,32.5K,4.3M,12.6K,3.57,9:25,48.45%
65,148,3.1M,370.5K,522.9K,6.1K,1.9M,9.4K,3.24,6:23,46.62%
47,1.7K,200.6K,16.5K,164.1K,834,33.6K,2.7K,3.84,4:05,49.96%
45,1.3K,286.1K,26.6K,60.1K,404,46.1K,2.7K,1.53,5:18,78.37%
89,1.2K,42.2M,976.7K,716.9K,1.8K,1.5B,141.6K,3.3,9:58,47.28%
100,70,334.7M,37.1M,4.7M,54.9K,11.4B,3.7M,1.84,9:31,65.91%
73,96,4.4M,994.2K,18.2K,303,11.3M,16.9K,3.59,10:10,51.74%
52,315,1.4M,274.7K,35.9K,174,4.2M,4.7K,3.32,6:07,45.99%
72,2.3K,5.7M,711.3K,120.4K,1.8K,44.3M,61.3K,2.49,6:23,52.07%
43,1.4K,261.6K,114.8K,8K,74,555.4K,5.7K,1.27,9:05,84.30%
61,233,1.9M,285.4K,440.5K,4.4K,1.1M,7.5K,1.48,8:50,81.39%
29,39.9K,4.8K,19.5K,104,4,63.1K,3.6K,1.9,6:05,72.63%
74,25.9K,3.5M,2.8M,108.5K,1.1K,49.7M,109.4K,5.03,10:24,44.29%
37,1.8K,189.9K,90.4K,7.1K,691,347.4K,4.5K,4.53,7:34,43.28%
83,1K,16.6M,1.9M,68.1K,336,64M,173K,2.31,6:37,57.07%
62,115,3.6M,435.3K,275.6K,7.8K,2.9M,7.1K,2.34,7:59,52.52%
58,178,2.6M,669.9K,21.3K,1K,24.1M,11.6K,1.61,9:56,75.62%
53,647,638.5K,276.8K,163.7K,4K,5.1M,7.5K,1.92,2:09,58.10%
51,1K,372.4K,153.5K,79K,1.6K,3.4M,3.8K,2.42,9:57,66.16%
91,8,43.2M,3.5M,1.3M,21.9K,23.5M,18.4K,4.42,14:43,35.82%
70,154,2.9M,249.7K,192.6K,3K,47.1M,15.9K,3.52,8:09,42.22%
73,37.7K,11M,3.5M,17.8K,248,18.5M,63.3K,5.33,23:43,67.11%
38,2.6K,120.5K,30.3K,8.5K,80,118.5K,4.1K,5.41,8:25,43.06%
41,2.6K,122.8K,89.1K,761,17,331.6K,2.9K,1.85,5:40,61.26%
55,544,781.2K,340.8K,147,4,8.6M,13.2K,1.24,5:39,85.56%
52,1K,358.4K,108.9K,4.8K,65,2.9M,6.9K,7.71,18:55,20.77%
59,250,1.8M,115.8K,119.2K,651,716.6K,5.6K,4.32,8:04,38.82%
80,1.6K,13.8M,2.6M,955,21,5.5M,27.6K,3.84,5:29,40.20%
72,46.1K,2.2M,7.3M,4.6K,173,115.2M,445.4K,1.35,12:21,86.74%
67,87,4.6M,365.7K,150.9K,1.9K,1.5M,6.1K,4.55,8:16,44.02%
100,162,139M,9M,11.8M,160.5K,209.9M,347.5K,3.33,7:20,52.97%
41,216.5K,95.1K,68.5K,0,0,71.3K,6.5K,1.27,3:58,82.88%
39,5.5K,52K,46.7K,2.8K,82,2.9M,8.3K,1.52,10:31,79.87%
47,7.6K,230K,97.7K,33K,488,185.8M,149.6K,1.72,10:34,71.27%
58,301,1.5M,1.1M,15.1K,421,16M,11.6K,1.8,4:36,72.57%
60,100,4.2M,508.9K,641.5K,10.1K,4M,10.6K,7.98,18:36,64.90%
35,3.7K,81K,28.7K,611,19,178.3K,3.2K,2.42,5:53,66.69%
74,79,5.2M,2M,21.2K,1,2M,6.9K,3.26,8:18,54.94%
82,814,10.9M,10.4M,16,1,2.7B,155.2K,3.88,10:15,54.26%
100,101,110.4M,8.4M,1.6M,3.8K,871.5M,236.6K,2.58,6:06,57.89%
35,1.8M,138.6K,35.5K,21,6,246.2K,5.1K,7.29,9:19,32.84%
35,4K,73.3K,28.6K,2.5K,48,875.4K,4.3K,2.82,5:52,57.52%
58,330,1.3M,103.5K,479K,3.5K,1.4M,7.1K,3.15,7:21,45.15%
46,104.4K,76.4K,32.8K,1.4K,41,876.8K,5.8K,3.33,3:03,43.05%
79,39.6K,14.7M,1.2M,110.7K,113,7.1M,71.9K,1.6,19:27,71.20%
44,1.4K,252.6K,111.6K,13.6K,329,4.2M,5.2K,4.04,10:11,42.23%
44,186.1K,146.3K,21.9K,46,24,183.3K,6.8K,2.88,4:49,50.08%
42,1.9K,179.2K,27.1K,37.3K,742,1.3M,2.6K,3.46,13:37,58.28%
76,1.7K,6.3M,690.8K,4.7K,71,25.1M,55.7K,2.6,5:48,53.03%
72,3.3K,3.5M,3.3M,57.1K,3.8K,197.9M,22K,4.08,10:05,55.22%
51,842,461.5K,44.2K,44.3K,625,83.6K,1.6K,1.73,11:02,65.29%
69,228.1K,1.3M,820.2K,684.9K,24.1K,4.8M,16.1K,1.3,4:21,79.59%
42,1.6K,212.1K,150.3K,60,3,707.3K,6.9K,1.75,3:39,74.03%
100,3.4K,192.7M,43M,12.9M,75K,240.5M,290.9K,3.15,14:15,52.82%
72,3.7K,4.4M,611.3K,142.2K,201,1.2M,14.2K,2.48,12:22,56.76%
100,1,12.6B,406.2M,212.4K,114,18.3B,6.8M,2.1,8:28,67.20%
69,304,1.5M,517.7K,0,0,67.9M,20.4K,2.55,8:31,57.41%
67,75,5.4M,638.7K,66.1K,1.1K,2.1M,12.6K,2.18,13:08,62.12%
100,2,9B,761.4M,25.4M,10.4K,52.4B,18M,4.07,42:59:00,41.27%
66,54,7.3M,434.8K,1.6M,17.8K,288.9K,3.7K,6.06,10:26,37.21%
82,3.5K,14.1M,9.9M,27.6K,796,122.6M,269.6K,1.99,7:47,69.09%
44,1.6K,209.3K,147.9K,175.2K,896,458.1K,5.1K,1.79,7:06,68.86%
96,145,65.9M,40.3M,4.6M,25.6K,877.3M,291K,5.52,12:49,39.68%
62,133,3.3M,2.2M,18.1K,466,2.1M,4.5K,3.08,10:12,55.27%
53,655,641.5K,78.4K,7.5K,43,3.5M,3.7K,3.67,6:12,41.93%
100,219,831.2M,127M,124.1M,3.3M,12.3B,3.5M,7.15,14:12,32.32%
70,95,4.5M,1.8M,228.4K,16K,31.8M,6.8K,4.45,9:38,45.90%
39,2.7K,116.2K,67.4K,1.9K,42,144.2K,5.4K,1.48,7:58,82.60%
100,37,696.3M,74.2M,7.9M,53.2K,9.1B,4.5M,2.22,9:50,64.17%
83,933,19M,2.4M,167K,2.8K,123.1M,146.1K,3.35,8:43,47.17%
65,367,1.2M,135K,133K,1.1K,1.6M,3K,3.31,9:44,62.15%
44,2.9K,109K,111K,22.2K,326,320.5K,5K,2,7:41,70.71%
79,2.1K,9.9M,1.3M,174.7K,1.7K,9M,83.8K,1.71,7:18,67.11%
48,1K,357.4K,57.5K,19.5K,274,416.2K,4.9K,3.75,10:33,52.89%
72,148,3M,547.6K,258,10,16.6M,20.5K,1.35,9:55,81.61%
80,1.3K,11.9M,524.9K,662,33,10M,50.8K,2.32,5:05,62.21%
